var,value,units,unc_2sigma
ModelName,EUS_Bau2018,,
Reservoir,EuropeanShale,,
ModelType,Average,,
Reference,Bau et al. (2018),,
Citation,"Bau, M., Schmidt, K., Pack, A., Bendel, V., Kraemer, D. (2018). The European Shale: An improved data set for normalisation of rare earth element and yttrium concentrations in environmental and biological samples from Europe. Applied Geochemistry 90, 142-149.",,
DOI,10.1016/j.apgeochem.2018.01.008,,
Description,,,
SiO2,,,
Al2O3,,,
FeO,,,
MnO,,,
MgO,,,
CaO,,,
Na2O,,,
Cr2O3,,,
TiO2,,,
NiO,,,
K2O,,,
P2O5,,,
H,,,
Li,,,
Be,,,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,,,
Ca,,,
Sc,,,
Ti,,,
V,,,
Cr,,,
Mn,,,
Fe,,,
Co,,,
Ni,,,
Cu,,,
Zn,,,
Ga,,,
Ge,,,
As,,,
Se,,,
Br,,,
Rb,,,
Sr,,,
Y,31.9,ppm,
Zr,,,
Nb,,,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,,,
Sb,,,
Te,,,
I,,,
Cs,,,
Ba,,,
La,44.3,ppm,
Ce,88.5,ppm,
Pr,10.6,ppm,
Nd,39.5,ppm,
Sm,7.3,ppm,
Eu,1.48,ppm,
Gd,6.34,ppm,
Tb,0.944,ppm,
Dy,5.86,ppm,
Ho,1.17,ppm,
Er,3.43,ppm,
Tm,0.492,ppm,
Yb,3.26,ppm,
Lu,0.485,ppm,
Hf,,,
Ta,,,
W,,,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,,,
Pb,,,
Bi,,,
Th,,,
U,,,
