var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment,constraint_value
ModelName,MORB_Gale2013,,,,,,
Reservoir,MORB,,,,,,
ModelType,Average,,,,,,
Reference,Gale et al. (2013),,,,,,
Citation,"Gale, A., Dalton, C.A., Langmuir, C.H., Su, Y., Schilling, J. (2013). The mean composition of ocean ridge basalts. Geochemistry, Geophysics, Geosystems 14, 489-518.",,,,,,
DOI,10.1029/2012GC004334,,,,,,
Description,,,,,,,
SiO2,50.41,%,0.08,,,,
Al2O3,14.95,%,0.1,,,,
FeO,10.07,%,0.14,,,,
MnO,0.173,%,0.004,,,,
MgO,7.69,%,0.08,,,,
CaO,11.35,%,0.07,,,,
Na2O,2.76,%,0.04,,,,
Cr2O3,,,,,,,
TiO2,1.54,%,0.03,,,,
NiO,,,,,,,
K2O,0.144,%,0.011,,,,
P2O5,0.169,%,0.008,,,,
H,,,,,,,
Li,6,ppm,0.2,,,,
Be,0.64,ppm,0.05,,,,
B,,,,,,,
C,,,,,,,
N,,,,,,,
O,,,,,,,
F,,,,,,,
Na,,,,,,,
Mg,,,,,,,
Al,,,,,,,
Si,,,,,,,
P,,,,,,,
S,,,,,,,
Cl,,,,,,,
K,,,,,,,
Ca,,,,,,,
Sc,38.8,ppm,0.6,,,,
Ti,,,,,,,
V,287,ppm,7,,,,
Cr,251,ppm,11,,,,
Mn,,,,,,,
Fe,,,,,,,
Co,42.9,ppm,0.5,,,,
Ni,97,ppm,4,,,,
Cu,75,ppm,2,,,,
Zn,86.6,ppm,1.9,,,,
Ga,17.1,ppm,0.2,,,,
Ge,,,,,,,
As,,,,,,,
Se,,,,,,,
Br,,,,,,,
Rb,2.15,ppm,0.27,,,,
Sr,129,ppm,5,,,,
Y,32.6,ppm,1,,,,
Zr,100.7,ppm,4.4,,,,
Nb,4.11,ppm,0.38,,,,
Mo,0.41,ppm,0.04,,,,
Ru,,,,,,,
Rh,,,,,,,
Pd,,,,,,,
Ag,,,,,,,
Cd,,,,,,,
In,,,,,,,
Sn,0.79,ppm,0.05,,,,
Sb,,,,,,,
Te,,,,,,,
I,,,,,,,
Cs,0.029,ppm,0.004,,,,
Ba,23.1,ppm,2.7,,,,
La,4.51,ppm,0.3,,,,
Ce,12.99,ppm,0.7,,,,
Pr,2.05,ppm,0.09,,,,
Nd,10.81,ppm,0.45,,,,
Sm,3.49,ppm,0.1,,,,
Eu,1.25,ppm,0.03,,,,
Gd,4.51,ppm,0.14,,,,
Tb,0.82,ppm,0.02,,,,
Dy,5.43,ppm,0.17,,,,
Ho,1.16,ppm,0.03,,,,
Er,3.37,ppm,0.1,,,,
Tm,,,,,,,
Yb,3.23,ppm,0.1,,,,
Lu,0.48,ppm,0.01,,,,
Hf,2.44,ppm,0.1,,,,
Ta,0.27,ppm,0.03,,,,
W,0.1,ppm,0.01,,,,
Re,,,,,,,
Os,,,,,,,
Ir,,,,,,,
Pt,,,,,,,
Au,,,,,,,
Hg,,,,,,,
Tl,0.019,ppm,0.001,,,,
Pb,0.53,ppm,0.03,,,,
Bi,,,,,,,
Th,0.292,ppm,0.033,,,,
U,0.095,ppm,0.009,,,,
