name,group,formula
forsterite,olivine,Mg2SiO4
fayalite,olivine,Fe2SiO4
tephroite,olivine,Mn2SiO4
liebenbergite,olivine,Ni1.5Mg0.5SiO4
enstatite,pyroxene,Mg2Si2O6
ferrosilite,pyroxene,Fe2Si2O6
diopside,pyroxene,CaMgSi2O6
hedenbergite,pyroxene,CaFeSi2O6
johannsenite,pyroxene,CaMnSi2O6
esseneite,pyroxene,CaAlFe{3+}SiO6
jadeite,pyroxene,NaAlSi2O6
aegirine,pyroxene,NaFe{3+}Si2O6
namansilite,pyroxene,NaMn{3+}Si2O6
kosmochlor,pyroxene,NaCrSi2O6
spodumene,pyroxene,LiAlSi2O6
spinel,spinel,MgAl2O4
magnesioferrite,spinel,MgFe{3+}2O4
magnesiochromite,spinel,MgCr{3+}2O4
magnetite,spinel,Fe{2+}Fe{3+}2O4
hercynite,spinel,Fe{2+}Al2O4
chromite,spinel,Fe{2+}Cr{3+}2O4
albite,feldspar,NaAlSi3O8
microcline,feldspar,KAlSi3O8
anorthite,feldspar,CaAl2Si2O8
anthopyllite,amphibole,(Mg2)(Mg5)(Si8)O22(OH)2
gedrite,amphibole,(Mg2)(Mg3Al2)(Si6Al2)O22(OH)2
tremolite,amphibole,(Ca2)(Mg5)(Si8)O22(OH)2
magnesiohornblende,amphibole,(Ca2)(Mg4Al)(Si7Al)O22(OH)2
ferrohornblende,amphibole,(Ca2)(Fe4Al)(Si7Al)O22(OH)2
tschermakite,amphibole,(Ca2)(Mg3Al2)(Si6Al2)O22(OH)2
ferrotschermakite,amphibole,(Ca2)(Fe3Al2)(Si6Al2)O22(OH)2
edenite,amphibole,Na(Ca2)(Mg5)(Si7Al)O22(OH)2
ferroedenite,amphibole,Na(Ca2)(Fe5)(Si7Al)O22(OH)2
pargasite,amphibole,Na(Ca2)(Mg4Al)(Si6Al2)O22(OH)2
ferropargasite,amphibole,Na(Ca2)(Fe4Al)(Si6Al2)O22(OH)2
winchite,amphibole,(NaCa)(Mg4Al)(Si8)O22(OH)2
barroisite,amphibole,(NaCa)(Mg3Al2)(Si7Al)O22(OH)2
richterite,amphibole,Na(NaCa)(Mg5)(Si8)O22(OH)2
ferrorichterite,amphibole,Na(NaCa)(Fe5)(Si8)O22(OH)2
katophorite,amphibole,Na(NaCa)(Mg4Al)(Si7Al)O22(OH)2
ferrokatophorite,amphibole,Na(NaCa)(Fe4Al)(Si7Al)O22(OH)2
taramite,amphibole,Na(NaCa)(Mg3Al2)(Si6Al2)O22(OH)2
glaucophane,amphibole,(Na2)(Mg3Al2)(Si8)O22(OH)2
eckermanite,amphibole,Na(Na2)(Mg4Al)(Si8)O22(OH)2
ferroeckermanite,amphibole,Na(Na2)(Fe4Al)(Si8)O22(OH)2
magnesioarfvedsonite,amphibole,Na(Na2)(Mg4Fe{3+})(Si8)O22(OH)2
arvedsonite,amphibole,Na(Na2)(Fe{2+}4Fe{3+})(Si8)O22(OH)2
magnesiohastingsite,amphibole,Na(Ca2)(Mg4Fe{3+})(Si6Al2)O22(OH)2
hastingsite,amphibole,Na(Ca2)(Fe{2+}4Fe{3+})(Si6Al2)O22(OH)2
magnesioreibeckite,amphibole,(Na2)(Mg3Fe{3+}2)(Si8)O22(OH)2
riebeckite,amphibole,(Na2)(Fe3Fe{3+}2)(Si8)O22(OH)2
kaersutite,amphibole,Na(Ca2)(Mg4Ti)(Si6Al2)O22(OH)2
ferrokaersutite,amphibole,Na(Ca2)(Fe4Ti)(Si6Al2)O22(OH)2
clinozoisite,epidote,Ca2Al3(Si2O7)(SiO4)O(OH)
epidote,epidote,Ca2Al2Fe{3+}(Si2O7)(SiO4)O(OH)
piemontite,epidote,Ca2Al2Mn{3+}(Si2O7)(SiO4)O(OH)
allanite,epidote,CaCe{3+}Al2Fe{2+}(Si2O7)(SiO4)O(OH)
pyrope,garnet,Mg3Al2(SiO4)3
almandine,garnet,Fe{2+}3Al2(SiO4)3
spessartine,garnet,Mn3Al2(SiO4)3
grossular,garnet,Ca3Al2(SiO4)3
andradite,garnet,Ca3Fe{3+}2(SiO4)3
uvarovite,garnet,Ca3Cr2(SiO4)3
majorite,garnet,Mg3(MgSi)(SiO4)3
morimotoite,garnet,Ca3(TiFe{2+})(SiO4)3
muscovite,mica,K2(Al4)(Si6Al2)O20(OH)4
paragonite,mica,Na2(Al4)(Si6Al2)O20(OH)4
celadonite,mica,K2(Fe{3+}2Mg2)(Si8)O20(OH)4
ferroceladonite,mica,K2(Fe{3+}2Fe{2+}2)(Si8)O20(OH)4
manganiceladonite,mica,K2(Mn{3+}2Mg2)(Si8)O20(OH)4
aluminoceladonite,mica,K2(Mg2Al2)(Si8)O20(OH)4
ferroaluminoceladonite,mica,K2(Fe{2+}2Al2)(Si8)O20(OH)4
chromoceladonite,mica,K2(Mg2Cr{3+}2)(Si8)O20(OH)4
margarite,mica,Ca2(Al4)(Si4Al4)O20(OH)4
phlogopite,mica,K2(Mg6)(Si6Al2)O20(OH)4
annite,mica,K2(Fe{2+}6)(Si6Al2)O20(OH)4
siderophyllite,mica,K2(Fe{2+}4)(Si4Al6)O20(OH)4
eastonite,mica,K2(Mg4)(Si4Al6)O20(OH)4
clintonite,mica,Ca2(Mg4Al2)(Si2Al6)O20(OH)4
phengite,mica,K2(Al3Mg)(Si7Al)O20(OH)4
polylithionite,mica,K2(Al2Li2)(Si8)O20(OH)4
trilithionite,mica,K2(Al3Li3)(Si6Al2)O20(OH)4
chromphyllite,mica,K2(Cr{3+}4)(Si6Al2)O20(OH)4
