var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment,constraint_value
ModelName,DMORB_Gale2013,,,,,,
Reservoir,DMORB,,,,,,
ModelType,Average,,,,,,
Reference,Gale et al. (2013),,,,,,
SiO2,50.39,%,0.08,,,,
Al2O3,14.93,%,0.12,,,,
FeO,10.15,%,0.17,,,,
MnO,0.178,%,0.006,,,,
MgO,7.82,%,0.11,,,,
CaO,11.49,%,0.09,,,,
Na2O,2.71,%,0.05,,,,
Cr2O3,,,,,,,
TiO2,1.51,%,0.05,,,,
NiO,,,,,,,
K2O,0.096,%,0.007,,,,
P2O5,0.153,%,0.009,,,,
H,,,,,,,
Li,6.1,ppm,0.2,,,,
Be,0.6,ppm,0.06,,,,
B,,,,,,,
C,,,,,,,
N,,,,,,,
O,,,,,,,
F,,,,,,,
Na,,,,,,,
Mg,,,,,,,
Al,,,,,,,
Si,,,,,,,
P,,,,,,,
S,,,,,,,
Cl,,,,,,,
K,,,,,,,
Ca,,,,,,,
Sc,39.5,ppm,0.7,,,,
Ti,,,,,,,
V,0.055,ppm,0.005,,,,
Cr,269,ppm,15,,,,
Mn,,,,,,,
Fe,,,,,,,
Co,43.6,ppm,0.5,,,,
Ni,100,ppm,6,,,,
Cu,75,ppm,2,,,,
Zn,3.31,ppm,0.11,,,,
Ga,16.9,ppm,0.2,,,,
Ge,,,,,,,
As,,,,,,,
Se,,,,,,,
Br,,,,,,,
Rb,1.05,ppm,0.1,,,,
Sr,111,ppm,3,,,,
Y,0.07,ppm,0.01,,,,
Zr,88.1,ppm,2.5,,,,
Nb,2.4,ppm,0.19,,,,
Mo,0.3,ppm,0.03,,,,
Ru,,,,,,,
Rh,,,,,,,
Pd,,,,,,,
Ag,,,,,,,
Cd,,,,,,,
In,,,,,,,
Sn,0.73,ppm,0.07,,,,
Sb,,,,,,,
Te,,,,,,,
I,,,,,,,
Cs,0.015,ppm,0.002,,,,
Ba,11.4,ppm,0.9,,,,
La,3.12,ppm,0.19,,,,
Ce,10.01,ppm,0.57,,,,
Pr,1.71,ppm,0.09,,,,
Nd,9.46,ppm,0.45,,,,
Sm,3.32,ppm,0.13,,,,
Eu,1.21,ppm,0.04,,,,
Gd,4.43,ppm,0.16,,,,
Tb,0.82,ppm,0.03,,,,
Dy,5.48,ppm,0.18,,,,
Ho,1.19,ppm,0.04,,,,
Er,3.46,ppm,0.11,,,,
Tm,,,,,,,
Yb,33.2,ppm,1.1,,,,
Lu,0.5,ppm,0.02,,,,
Hf,2.31,ppm,0.14,,,,
Ta,0.17,ppm,0.01,,,,
W,298,ppm,9,,,,
Re,,,,,,,
Os,,,,,,,
Ir,,,,,,,
Pt,,,,,,,
Au,,,,,,,
Hg,,,,,,,
Tl,0.015,ppm,0.001,,,,
Pb,0.43,ppm,0.02,,,,
Bi,,,,,,,
Th,0.156,ppm,0.013,,,,
U,0.52,ppm,0,,,,
